task_display,task,strategy,seed,n_dev,n_test,include_current,val_micro_f1,val_macro_f1,test_micro_f1,test_macro_f1,test_micro_p,test_micro_r,model_path
current,state_current,text_only,12,25295,22770,True,0.6062841675070325,0.5911765170199244,0.6243389261936412,0.6059929551608391,0.5105862812246307,0.8033061248458512,finetuned_bert_tiny_state_current_text_only_seed12.pt
current,state_current,text_only,24,25295,22770,True,0.6119846776137794,0.5957852857188054,0.6247574216252609,0.6049360256727863,0.5082527087111414,0.8105584590991838,finetuned_bert_tiny_state_current_text_only_seed24.pt
current,state_current,text_only,42,25295,22770,True,0.6151244261899009,0.5983622379517631,0.6252349070429011,0.6067546337312912,0.5137171944205725,0.798593575665042,finetuned_bert_tiny_state_current_text_only_seed42.pt
current,state_current,text_only,73,25295,22770,True,0.6101820100237404,0.596671472579029,0.6223171808677321,0.6055337515471048,0.508505665788322,0.8017646367960538,finetuned_bert_tiny_state_current_text_only_seed73.pt
current,state_current,text_only,105,25295,22770,True,0.6072281649184754,0.5929960664367836,0.6249752218704514,0.60566048767036,0.5087551059925681,0.8100152680721123,finetuned_bert_tiny_state_current_text_only_seed105.pt
current,state_current,text_plus_vadlex_emoflow,12,25295,22770,True,0.610749317696652,0.5955062228858095,0.6264876921392221,0.6066187423407517,0.5156986839483447,0.7979035762522755,finetuned_bert_tiny_state_current_text_plus_vadlex_emoflow_seed12.pt
current,state_current,text_plus_vadlex_emoflow,24,25295,22770,True,0.6137124193505207,0.5958905304165101,0.6269356188497388,0.6055749701475359,0.5165336807768024,0.797360385225204,finetuned_bert_tiny_state_current_text_plus_vadlex_emoflow_seed24.pt
current,state_current,text_plus_vadlex_emoflow,42,25295,22770,True,0.6154300440244819,0.5975459643484924,0.626256989734826,0.606758727642267,0.5183695463905621,0.7908567737389159,finetuned_bert_tiny_state_current_text_plus_vadlex_emoflow_seed42.pt
current,state_current,text_plus_vadlex_emoflow,73,25295,22770,True,0.6137361010149961,0.5980573055332097,0.6253635566225013,0.6065294113298713,0.51519415814095,0.7954665570497387,finetuned_bert_tiny_state_current_text_plus_vadlex_emoflow_seed73.pt
current,state_current,text_plus_vadlex_emoflow,105,25295,22770,True,0.609198727220133,0.593025369445624,0.6252225704972495,0.6057519746750655,0.5103788392417643,0.8067561219096835,finetuned_bert_tiny_state_current_text_plus_vadlex_emoflow_seed105.pt
current,state_current,text_plus_vadbert_global,12,25295,22770,True,0.6097476112731847,0.5949828248451927,0.6230476311546929,0.6056801110682897,0.5137264991471561,0.7914733689588349,finetuned_bert_tiny_state_current_text_plus_vadbert_global_seed12.pt
current,state_current,text_plus_vadbert_global,24,25295,22770,True,0.6136810625858771,0.5973733529624459,0.6237450514187386,0.6036512718881694,0.5163277287470044,0.7875976275764872,finetuned_bert_tiny_state_current_text_plus_vadbert_global_seed24.pt
current,state_current,text_plus_vadbert_global,42,25295,22770,True,0.6134606759359418,0.5973950396695105,0.6229403841016693,0.604574032411587,0.5082307770780973,0.8045246344471196,finetuned_bert_tiny_state_current_text_plus_vadbert_global_seed42.pt
current,state_current,text_plus_vadbert_global,73,25295,22770,True,0.6173682214637846,0.6027281585567867,0.6265086871295537,0.6077513750261364,0.51880930591012,0.7906365611603735,finetuned_bert_tiny_state_current_text_plus_vadbert_global_seed73.pt
current,state_current,text_plus_vadbert_global,105,25295,22770,True,0.611076181494289,0.5949285147984014,0.625853230395966,0.6066001204911452,0.5053673158004026,0.8217746197662811,finetuned_bert_tiny_state_current_text_plus_vadbert_global_seed105.pt
current,state_current,text_plus_vadbert_emoflow,12,25295,22770,True,0.611508855035797,0.5955814728657921,0.6264326812428078,0.6058879408761753,0.5150921615381704,0.799180809207822,finetuned_bert_tiny_state_current_text_plus_vadbert_emoflow_seed12.pt
current,state_current,text_plus_vadbert_emoflow,24,25295,22770,True,0.6112517135927449,0.5950872573525946,0.6262475674568402,0.6065575688503174,0.5112983851485701,0.8078718656409654,finetuned_bert_tiny_state_current_text_plus_vadbert_emoflow_seed24.pt
current,state_current,text_plus_vadbert_emoflow,42,25295,22770,True,0.6152187064362555,0.5983547393173911,0.6265057509055764,0.6075269492503805,0.5102917139928526,0.8112631393505197,finetuned_bert_tiny_state_current_text_plus_vadbert_emoflow_seed42.pt
current,state_current,text_plus_vadbert_emoflow,73,25295,22770,True,0.614763709743394,0.5994186952095316,0.6267366033456195,0.6078836661437917,0.5243328721091125,0.7788478477890657,finetuned_bert_tiny_state_current_text_plus_vadbert_emoflow_seed73.pt
current,state_current,text_plus_vadbert_emoflow,105,25295,22770,True,0.6085843092271987,0.5921135140048894,0.6242476548265729,0.6040485100136785,0.5068842006907103,0.8123348405660932,finetuned_bert_tiny_state_current_text_plus_vadbert_emoflow_seed105.pt
current,state_current,text_plus_all_affective,12,25295,22770,True,0.6117609185534929,0.5961544131033347,0.6265703373061525,0.607486721883953,0.5151136836530095,0.7995771918491984,finetuned_bert_tiny_state_current_text_plus_all_affective_seed12.pt
current,state_current,text_plus_all_affective,24,25295,22770,True,0.6148741904660792,0.598448887378412,0.627560233194036,0.607642179399672,0.5147887257714119,0.8035997416172411,finetuned_bert_tiny_state_current_text_plus_all_affective_seed24.pt
current,state_current,text_plus_all_affective,42,25295,22770,True,0.6154782378621511,0.59804979614918,0.6245289000035222,0.6064988214111996,0.5203267142717402,0.7809178460273651,finetuned_bert_tiny_state_current_text_plus_all_affective_seed42.pt
current,state_current,text_plus_all_affective,73,25295,22770,True,0.6160319798022301,0.6017837369950927,0.6242932411761374,0.6064322022875734,0.5083030426038342,0.8088701626636914,finetuned_bert_tiny_state_current_text_plus_all_affective_seed73.pt
current,state_current,text_plus_all_affective,105,25295,22770,True,0.6048355132778438,0.5878783444279899,0.6235679398591011,0.6035246187231667,0.5055565693430657,0.813450584297375,finetuned_bert_tiny_state_current_text_plus_all_affective_seed105.pt
forecast,forecast_next,text_only,12,20236,18216,False,0.6082397891182656,0.5859430315021577,0.6023534277203026,0.578483988023326,0.4848383976032705,0.7950598751322029,finetuned_bert_tiny_forecast_next_text_only_seed12.pt
forecast,forecast_next,text_only,24,20236,18216,False,0.5914762412471545,0.5712918231860091,0.6055610533175642,0.5808675677140028,0.4685066572052809,0.8559585138685135,finetuned_bert_tiny_forecast_next_text_only_seed24.pt
forecast,forecast_next,text_only,42,20236,18216,False,0.6005630278385987,0.5816594514380413,0.6011839790428004,0.5790218633826447,0.4820229809315926,0.7986080311145987,finetuned_bert_tiny_forecast_next_text_only_seed42.pt
forecast,forecast_next,text_only,73,20236,18216,False,0.5947250474056197,0.5750350000276636,0.6045488441461596,0.5810838022725141,0.4754931670218381,0.8297567466138992,finetuned_bert_tiny_forecast_next_text_only_seed73.pt
forecast,forecast_next,text_only,105,20236,18216,False,0.5947486957265444,0.5772615280636069,0.601525920122372,0.5816883870821707,0.4732825174414622,0.8250997918870049,finetuned_bert_tiny_forecast_next_text_only_seed105.pt
forecast,forecast_next,text_plus_vadlex_emoflow,12,20236,18216,False,0.6026946712443381,0.5825559776200793,0.6025277017010477,0.5797169928891214,0.4768628074850359,0.8181228890177749,finetuned_bert_tiny_forecast_next_text_plus_vadlex_emoflow_seed12.pt
forecast,forecast_next,text_plus_vadlex_emoflow,24,20236,18216,False,0.5912508735150245,0.5727053795172157,0.6045266665452758,0.5805848446410999,0.4692137372214632,0.8495104227081983,finetuned_bert_tiny_forecast_next_text_plus_vadlex_emoflow_seed24.pt
forecast,forecast_next,text_plus_vadlex_emoflow,42,20236,18216,False,0.6017275292910288,0.5829356672621286,0.6039747164214012,0.581791592326993,0.47244716190843,0.836989526116475,finetuned_bert_tiny_forecast_next_text_plus_vadlex_emoflow_seed42.pt
forecast,forecast_next,text_plus_vadlex_emoflow,73,20236,18216,False,0.590629542659063,0.5735971820663122,0.6034498405764658,0.583446611883049,0.4675560889172237,0.8507045136638122,finetuned_bert_tiny_forecast_next_text_plus_vadlex_emoflow_seed73.pt
