backbone,backbone_model,task,strategy,n_dev,n_test,val_micro_f1,val_macro_f1,test_micro_f1,test_macro_f1,test_micro_p,test_micro_r,model_path
distilbert,distilbert-base-uncased,change_subset,text_plus_all_affective,13505,12812,0.6752650663239547,0.6713878171672841,0.6700272166213056,0.6652203684321636,0.6753863987635239,0.6647524149996197,model_distilbert_change_subset_text_plus_all_affective_test.joblib
distilbert,distilbert-base-uncased,change_subset,text_plus_vadbert_emoflow,13505,12812,0.6746057289990345,0.6709976103971269,0.6694203787472207,0.6643701733205547,0.6748009892572842,0.6641248954134022,model_distilbert_change_subset_text_plus_vadbert_emoflow_test.joblib
distilbert,distilbert-base-uncased,change_subset,text_plus_vadbert_global,13505,12812,0.6679836449671521,0.6636404585079514,0.6626937743116101,0.6577589179781305,0.6678252809639671,0.6576405263558226,model_distilbert_change_subset_text_plus_vadbert_global_test.joblib
distilbert,distilbert-base-uncased,change_subset,text_plus_vadlex_emoflow,13505,12812,0.6666666666666666,0.6627342988651346,0.6583441200441057,0.652641837031736,0.6639526563134586,0.6528295428614893,model_distilbert_change_subset_text_plus_vadlex_emoflow_test.joblib
distilbert,distilbert-base-uncased,forecast_change_subset,text_only,13505,12812,0.6066550554587955,0.598151760998004,0.589931658484936,0.5804414812238827,0.5973256403259132,0.5827184909104739,model_distilbert_forecast_change_subset_text_only_test.joblib
distilbert,distilbert-base-uncased,forecast_change_subset,text_plus_all_affective,13505,12812,0.6061776061776062,0.5977567518646427,0.5943672275054864,0.5853841221115208,0.6018049274910339,0.5871111280139956,model_distilbert_forecast_change_subset_text_plus_all_affective_test.joblib
distilbert,distilbert-base-uncased,forecast_change_subset,text_plus_vadbert_emoflow,13505,12812,0.606503168917057,0.5982294073141328,0.5950856549576051,0.5859904690503586,0.6017614807325893,0.5885563246367993,model_distilbert_forecast_change_subset_text_plus_vadbert_emoflow_test.joblib
distilbert,distilbert-base-uncased,forecast_change_subset,text_plus_vadbert_global,13505,12812,0.6062660315133749,0.597565270837368,0.5914986145320197,0.5824753108130802,0.5986406481265093,0.5845249866889785,model_distilbert_forecast_change_subset_text_plus_vadbert_global_test.joblib
distilbert,distilbert-base-uncased,forecast_change_subset,text_plus_vadlex_emoflow,13505,12812,0.6058853234173438,0.5976622683044885,0.5908132921442388,0.5814930560429119,0.5980944216043489,0.5837073096523921,model_distilbert_forecast_change_subset_text_plus_vadlex_emoflow_test.joblib
distilbert,distilbert-base-uncased,forecast_next,text_only,20236,18216,0.6175954365949978,0.6049973825569761,0.6056205335600542,0.5920333915736894,0.5495794814763328,0.6743884548463034,model_distilbert_forecast_next_text_only_test.joblib
distilbert,distilbert-base-uncased,forecast_next,text_plus_all_affective,20236,18216,0.6200160948130807,0.6070269569737682,0.607076435960099,0.593703014378464,0.5524055944055944,0.6737572924840504,model_distilbert_forecast_next_text_plus_all_affective_test.joblib
distilbert,distilbert-base-uncased,forecast_next,text_plus_vadbert_emoflow,20236,18216,0.6199305174620588,0.607021686900143,0.6078267214562771,0.5943029874178377,0.5528341693096559,0.6749684418818873,model_distilbert_forecast_next_text_plus_vadbert_emoflow_test.joblib
distilbert,distilbert-base-uncased,forecast_next,text_plus_vadbert_global,20236,18216,0.6184556887978941,0.6056030102618974,0.6061581375388907,0.5927340741645856,0.5502838379341051,0.6746613899218723,model_distilbert_forecast_next_text_plus_vadbert_global_test.joblib
distilbert,distilbert-base-uncased,forecast_next,text_plus_vadlex_emoflow,20236,18216,0.6177276213432672,0.6051193518553357,0.6066804149002231,0.5930908592661647,0.5509405589050251,0.6749684418818873,model_distilbert_forecast_next_text_plus_vadlex_emoflow_test.joblib
distilbert,distilbert-base-uncased,state_current,text_only,25295,22770,0.6490288844621513,0.6382675915058289,0.6446324314761059,0.6327955858350276,0.5821527901059235,0.7221357683950907,model_distilbert_state_current_text_only_test.joblib
distilbert,distilbert-base-uncased,state_current,text_plus_all_affective,25295,22770,0.6570331762429388,0.6462238387826977,0.6544017389586009,0.6430236555821628,0.5934837931158078,0.7292559751012978,model_distilbert_state_current_text_plus_all_affective_test.joblib
distilbert,distilbert-base-uncased,state_current,text_plus_vadbert_emoflow,25295,22770,0.6570108627793732,0.6461818715511134,0.6540824996212895,0.6427478696773268,0.5931434032132832,0.7289770391684773,model_distilbert_state_current_text_plus_vadbert_emoflow_test.joblib
distilbert,distilbert-base-uncased,state_current,text_plus_vadbert_global,25295,22770,0.6526138804994239,0.6417741162148473,0.6500416499957367,0.638751459322159,0.5875037050210445,0.7274795936343884,model_distilbert_state_current_text_plus_vadbert_global_test.joblib
distilbert,distilbert-base-uncased,state_current,text_plus_vadlex_emoflow,25295,22770,0.6502008907714829,0.6394953797844989,0.6464145972197645,0.6348086679057336,0.5838671102639088,0.7239708732162781,model_distilbert_state_current_text_plus_vadlex_emoflow_test.joblib
